visitNumber,visitId,visitStart,date,hits1,newVisits,timeOnSite,transactionRevenue,referralPath,browser,deviceCategory,isMobile,city,country,region,pageTitle,fullVisitorId,channelGrouping,socialEngagementType
1.0,1486968288.0,06:44:48,02/12/2017,1,1,0,0,,Edge,desktop,false,not available in demo dataset,Philippines,,Google Online Store,5.68969E+18,Organic Search,Not Socially Engaged
1.0,1486914171.0,15:42:51,02/12/2017,1,1,0,0,,Chrome,mobile,true,Warsaw,Poland,EMEA,Google Online Store,5.96486E+17,Organic Search,Not Socially Engaged
1.0,1486900841.0,12:00:41,02/12/2017,1,1,0,0,,Chrome,desktop,false,Amsterdam,Netherlands,EMEA,Google Online Store,8.74705E+18,Direct,Not Socially Engaged
1.0,1486971259.0,07:34:19,02/12/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,United States,North America,Google Online Store,4.17866E+18,Organic Search,Not Socially Engaged
1.0,1500728885.0,13:08:05,07/22/2017,1,1,0,0,,Chrome,mobile,true,(not set),United States,North America,Google Online Store,4.47885E+18,Direct,Not Socially Engaged
1.0,1500769879.0,00:31:19,07/22/2017,1,1,0,0,,Safari,mobile,true,not available in demo dataset,Spain,EMEA,Google Online Store,1.92935E+17,Organic Search,Not Socially Engaged
1.0,1500786980.0,05:16:20,07/22/2017,1,1,0,0,,Chrome,mobile,true,not available in demo dataset,United States,North America,Google Online Store,8.04156E+18,Organic Search,Not Socially Engaged
1.0,1500769025.0,00:17:05,07/22/2017,1,1,0,0,,Safari,mobile,true,Perth,Australia,APAC,Google Online Store,7.39704E+18,Organic Search,Not Socially Engaged
1.0,1472910430.0,13:47:10,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,United Kingdom,EMEA,Google Online Store,8.66853E+17,Organic Search,Not Socially Engaged
1.0,1472892194.0,08:43:14,09/03/2016,1,1,0,0,,Chrome,desktop,false,(not set),Taiwan,APAC,Google Online Store,7.39186E+18,Organic Search,Not Socially Engaged
1.0,1472960474.0,03:41:14,09/03/2016,1,1,0,0,,Chrome,desktop,false,(not set),United States,North America,Google Online Store,3.86577E+18,Direct,Not Socially Engaged
1.0,1472959989.0,03:33:09,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,United States,North America,Google Online Store,6.74486E+18,Organic Search,Not Socially Engaged
2.0,1472937725.0,21:22:05,09/03/2016,1,0,0,0,/google-merchandise-store,Opera,desktop,false,not available in demo dataset,France,EMEA,Google Online Store,2.31055E+17,Referral,Not Socially Engaged
1.0,1486947892.0,01:04:52,02/12/2017,1,1,0,0,,Chrome,mobile,true,not available in demo dataset,United Kingdom,EMEA,Google Online Store,7.89649E+18,Organic Search,Not Socially Engaged
1.0,1486888309.0,08:31:49,02/12/2017,1,1,0,0,,Chrome,desktop,false,(not set),United States,North America,Google Online Store,7.9969E+18,Organic Search,Not Socially Engaged
3.0,1486900873.0,12:01:13,02/12/2017,1,0,0,0,,Chrome,desktop,false,not available in demo dataset,Germany,EMEA,Google Online Store,1.5055E+17,Organic Search,Not Socially Engaged
1.0,1486911809.0,15:03:29,02/12/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Colombia,,Google Online Store,3.00757E+17,Organic Search,Not Socially Engaged
1.0,1486966350.0,06:12:30,02/12/2017,1,1,0,0,,Safari,mobile,true,Mumbai,India,APAC,Google Online Store,2.65431E+18,Organic Search,Not Socially Engaged
1.0,1500776781.0,02:26:21,07/22/2017,1,1,0,0,,Edge,desktop,false,not available in demo dataset,United States,North America,Google Online Store,3.68651E+17,Organic Search,Not Socially Engaged
1.0,1500750649.0,19:10:49,07/22/2017,1,1,0,0,,Edge,desktop,false,(not set),United Kingdom,EMEA,Google Online Store,9.14789E+18,Direct,Not Socially Engaged
1.0,1500793048.0,06:57:28,07/22/2017,1,1,0,0,,Safari,mobile,true,not available in demo dataset,Italy,EMEA,Google Online Store,2.05648E+18,Direct,Not Socially Engaged
1.0,1500781162.0,03:39:22,07/22/2017,1,1,0,0,,Safari,mobile,true,San Francisco,United States,North America,Google Online Store,3.12269E+17,Organic Search,Not Socially Engaged
1.0,1500740989.0,16:29:49,07/22/2017,1,1,0,0,,Safari,mobile,true,London,United Kingdom,EMEA,Google Online Store,5.89278E+18,Organic Search,Not Socially Engaged
1.0,1472892086.0,08:41:26,09/03/2016,1,1,0,0,,Chrome,desktop,false,London,United Kingdom,EMEA,Google Online Store,5.62747E+18,Organic Search,Not Socially Engaged
1.0,1472950435.0,00:53:55,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Czechia,,Google Online Store,4.73156E+18,Organic Search,Not Socially Engaged
1.0,1472944013.0,23:06:53,09/03/2016,1,1,0,0,,Safari,desktop,false,Los Angeles,United States,North America,Google Online Store,6.48687E+18,Organic Search,Not Socially Engaged
3.0,1486918260.0,16:51:00,02/12/2017,1,0,0,0,,Chrome,desktop,false,Gothenburg,Sweden,EMEA,Google Online Store,3.09652E+18,Organic Search,Not Socially Engaged
1.0,1486923842.0,18:24:02,02/12/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,United States,North America,Google Online Store,4.30667E+17,Organic Search,Not Socially Engaged
1.0,1486889951.0,08:59:11,02/12/2017,1,1,0,0,,Safari,mobile,true,not available in demo dataset,Qatar,,Google Online Store,9.28186E+17,Organic Search,Not Socially Engaged
1.0,1486969692.0,07:08:12,02/12/2017,1,1,0,0,,Android Webview,mobile,true,not available in demo dataset,China,,Google Online Store,2.71121E+18,Organic Search,Not Socially Engaged
1.0,1486893216.0,09:53:36,02/12/2017,1,1,0,0,,Chrome,mobile,true,New Delhi,India,APAC,Google Online Store,5.01328E+18,Organic Search,Not Socially Engaged
1.0,1500729086.0,13:11:26,07/22/2017,1,1,0,0,,Chrome,desktop,false,Sao Paulo,Brazil,South America,Google Online Store,5.30493E+18,Organic Search,Not Socially Engaged
1.0,1500725453.0,12:10:53,07/22/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Japan,APAC,Google Online Store,4.56237E+18,Organic Search,Not Socially Engaged
1.0,1500719595.0,10:33:15,07/22/2017,1,1,0,0,,Firefox,desktop,false,Hong Kong,Hong Kong,,Google Online Store,1.47464E+18,Organic Search,Not Socially Engaged
1.0,1500724087.0,11:48:07,07/22/2017,1,1,0,0,,Chrome,desktop,false,Sofia,Bulgaria,,Google Online Store,1.13954E+18,Organic Search,Not Socially Engaged
1.0,1500741991.0,16:46:31,07/22/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,India,APAC,Google Online Store,4.69444E+18,Organic Search,Not Socially Engaged
1.0,1500741735.0,16:42:15,07/22/2017,1,1,0,0,,Edge,desktop,false,not available in demo dataset,Italy,EMEA,Google Online Store,8.9648E+18,Organic Search,Not Socially Engaged
3.0,1500726853.0,12:34:13,07/22/2017,1,0,0,0,,Firefox,desktop,false,not available in demo dataset,France,EMEA,Google Online Store,1.95829E+17,Organic Search,Not Socially Engaged
1.0,1472952605.0,01:30:05,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,United Kingdom,EMEA,Google Online Store,4.61969E+17,Organic Search,Not Socially Engaged
1.0,1472941783.0,22:29:43,09/03/2016,1,1,0,0,,Chrome,mobile,true,San Diego,United States,North America,Google Online Store,1.30463E+18,Organic Search,Not Socially Engaged
1.0,1472916952.0,15:35:52,09/03/2016,1,1,0,0,,Firefox,desktop,false,not available in demo dataset,United States,North America,Google Online Store,7.26012E+16,Organic Search,Not Socially Engaged
1.0,1486914446.0,15:47:26,02/12/2017,1,1,0,0,,Chrome,mobile,true,not available in demo dataset,Germany,EMEA,Google Online Store,7.71823E+18,Organic Search,Not Socially Engaged
3.0,1486915004.0,15:56:44,02/12/2017,1,0,0,0,,Edge,desktop,false,not available in demo dataset,Sweden,EMEA,Google Online Store,9.56915E+17,Direct,Not Socially Engaged
1.0,1486924065.0,18:27:45,02/12/2017,1,1,0,0,,Chrome,mobile,true,Mumbai,India,APAC,Google Online Store,2.18328E+17,Direct,Not Socially Engaged
1.0,1486946338.0,00:38:58,02/12/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,South Korea,,Google Online Store,8.13021E+16,Direct,Not Socially Engaged
1.0,1500757359.0,21:02:39,07/22/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,France,EMEA,Google Online Store,7.11663E+18,Organic Search,Not Socially Engaged
1.0,1500736417.0,15:13:37,07/22/2017,1,1,0,0,,Chrome,desktop,false,Mumbai,India,APAC,Google Online Store,2.18454E+18,Organic Search,Not Socially Engaged
1.0,1500728853.0,13:07:33,07/22/2017,1,1,0,0,,Firefox,desktop,false,not available in demo dataset,India,APAC,Google Online Store,6.66047E+18,Organic Search,Not Socially Engaged
1.0,1500743851.0,17:17:31,07/22/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Peru,,Google Online Store,8.82758E+18,Organic Search,Not Socially Engaged
1.0,1472926001.0,18:06:41,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,China,,Google Online Store,3.71054E+17,Direct,Not Socially Engaged
1.0,1486947178.0,00:52:58,02/12/2017,1,1,0,0,,Chrome,mobile,true,not available in demo dataset,United States,North America,Google Online Store,4.83746E+18,Organic Search,Not Socially Engaged
1.0,1486898860.0,11:27:40,02/12/2017,1,1,0,0,,Chrome,desktop,false,London,United Kingdom,EMEA,Google Online Store,9.46282E+18,Organic Search,Not Socially Engaged
1.0,1486939767.0,22:49:27,02/12/2017,1,1,0,0,,Android Webview,mobile,true,not available in demo dataset,Morocco,,Google Online Store,8.34349E+17,Direct,Not Socially Engaged
1.0,1486929361.0,19:56:01,02/12/2017,1,1,0,0,,Chrome,desktop,false,London,United Kingdom,EMEA,Google Online Store,3.64708E+18,Organic Search,Not Socially Engaged
1.0,1486909756.0,14:29:16,02/12/2017,1,1,0,0,,Chrome,mobile,true,Hyderabad,India,APAC,Google Online Store,7.73903E+18,Organic Search,Not Socially Engaged
1.0,1486904684.0,13:04:44,02/12/2017,1,1,0,0,,Firefox,desktop,false,not available in demo dataset,Egypt,,Google Online Store,4.60953E+17,Direct,Not Socially Engaged
1.0,1486904136.0,12:55:36,02/12/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Egypt,,Google Online Store,2.09831E+18,Organic Search,Not Socially Engaged
1.0,1472930228.0,19:17:08,09/03/2016,1,1,0,0,,Chrome,mobile,true,San Francisco,United States,North America,Google Online Store,2.23501E+18,Organic Search,Not Socially Engaged
1.0,1472944103.0,23:08:23,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Argentina,South America,Google Online Store,5.49028E+18,Organic Search,Not Socially Engaged
1.0,1472938632.0,21:37:12,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Poland,EMEA,Google Online Store,2.55918E+18,Organic Search,Not Socially Engaged
1.0,1486950115.0,01:41:55,02/12/2017,1,1,0,0,,Safari,desktop,false,not available in demo dataset,United States,North America,Google Online Store,8.25834E+18,Direct,Not Socially Engaged
1.0,1486887292.0,08:14:52,02/12/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Netherlands,EMEA,Google Online Store,7.6223E+16,Direct,Not Socially Engaged
1.0,1486891702.0,09:28:22,02/12/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Malaysia,,Google Online Store,1.5338E+18,Organic Search,Not Socially Engaged
1.0,1486956629.0,03:30:29,02/12/2017,1,1,0,0,,Chrome,desktop,false,Hyderabad,India,APAC,Google Online Store,8.6315E+18,Organic Search,Not Socially Engaged
1.0,1486891948.0,09:32:28,02/12/2017,1,1,0,0,,Chrome,desktop,false,Mumbai,India,APAC,Google Online Store,3.8671E+17,Organic Search,Not Socially Engaged
1.0,1500724713.0,11:58:33,07/22/2017,1,1,0,0,,Chrome,mobile,true,(not set),United States,North America,Google Online Store,9.9429E+18,Direct,Not Socially Engaged
1.0,1500751842.0,19:30:42,07/22/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Czechia,,Google Online Store,5.07245E+18,Organic Search,Not Socially Engaged
1.0,1500710341.0,07:59:01,07/22/2017,1,1,0,0,,Safari,mobile,true,Sydney,Australia,APAC,Google Online Store,3.97105E+17,Organic Search,Not Socially Engaged
1.0,1500737918.0,15:38:38,07/22/2017,1,1,0,0,,Opera Mini,mobile,true,not available in demo dataset,Kenya,,Google Online Store,4.26964E+18,Organic Search,Not Socially Engaged
1.0,1472946835.0,23:53:55,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,United Kingdom,EMEA,Google Online Store,1.7769E+17,Organic Search,Not Socially Engaged
1.0,1472897062.0,10:04:22,09/03/2016,1,1,0,0,,Chrome,mobile,true,(not set),Taiwan,APAC,Google Online Store,1.94764E+18,Organic Search,Not Socially Engaged
1.0,1472899993.0,10:53:13,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,India,APAC,Google Online Store,2.46532E+18,Organic Search,Not Socially Engaged
1.0,1472939112.0,21:45:12,09/03/2016,1,1,0,0,,Chrome,desktop,false,Dublin,Ireland,EMEA,Google Online Store,1.0041E+18,Organic Search,Not Socially Engaged
1.0,1486905927.0,13:25:27,02/12/2017,1,1,0,0,,Safari,mobile,true,Chicago,United States,North America,Google Online Store,7.02029E+17,Direct,Not Socially Engaged
1.0,1486947936.0,01:05:36,02/12/2017,1,1,0,0,,Chrome,tablet,true,not available in demo dataset,United Kingdom,EMEA,Google Online Store,6.21339E+16,Organic Search,Not Socially Engaged
1.0,1486962781.0,05:13:01,02/12/2017,1,1,0,0,,Chrome,mobile,true,(not set),India,APAC,Google Online Store,2.39533E+18,Organic Search,Not Socially Engaged
1.0,1486939413.0,22:43:33,02/12/2017,1,1,0,0,,Safari,tablet,true,Mountain View,United States,North America,Google Online Store,3.79887E+16,Organic Search,Not Socially Engaged
2.0,1486932116.0,20:41:56,02/12/2017,1,0,0,0,,Chrome,desktop,false,Gothenburg,Sweden,EMEA,Google Online Store,5.9237E+18,Organic Search,Not Socially Engaged
2.0,1500793140.0,06:59:00,07/22/2017,1,0,0,0,,Chrome,mobile,true,New York,United States,North America,Google Online Store,3.69041E+18,Direct,Not Socially Engaged
1.0,1500731942.0,13:59:02,07/22/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Italy,EMEA,Google Online Store,6.68902E+18,Organic Search,Not Socially Engaged
1.0,1472946359.0,23:45:59,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Australia,APAC,Google Online Store,1.97672E+18,Organic Search,Not Socially Engaged
1.0,1472936967.0,21:09:27,09/03/2016,1,1,0,0,,Safari,mobile,true,not available in demo dataset,Philippines,,Google Online Store,1.07653E+18,Organic Search,Not Socially Engaged
1.0,1486914117.0,15:41:57,02/12/2017,1,1,0,0,,Firefox,desktop,false,not available in demo dataset,Japan,APAC,Google Online Store,2.81608E+18,Organic Search,Not Socially Engaged
1.0,1486918760.0,16:59:20,02/12/2017,1,1,0,0,,Safari,tablet,true,not available in demo dataset,Netherlands,EMEA,Google Online Store,4.45862E+18,Organic Search,Not Socially Engaged
1.0,1486887636.0,08:20:36,02/12/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Japan,APAC,Google Online Store,1.00598E+18,Organic Search,Not Socially Engaged
1.0,1486969091.0,06:58:11,02/12/2017,1,1,0,0,/od/Things-To-Do-in-Silicon-Valley/fl/How-To-Visit-the-Googleplex-the-Google-Head-Office-in-Mountain-View.htm,Maxthon,desktop,false,not available in demo dataset,United States,North America,Google Online Store,9.16062E+17,Referral,Not Socially Engaged
3.0,1500747126.0,18:12:06,07/22/2017,1,0,0,0,,Chrome,mobile,true,not available in demo dataset,Spain,EMEA,Google Online Store,5.66547E+18,Organic Search,Not Socially Engaged
1.0,1500721678.0,11:07:58,07/22/2017,1,1,0,0,,Chrome,tablet,true,London,United Kingdom,EMEA,Google Online Store,1.74021E+18,Organic Search,Not Socially Engaged
1.0,1500743386.0,17:09:46,07/22/2017,1,1,0,0,,Chrome,mobile,true,San Francisco,United States,North America,Google Online Store,8.52075E+17,Paid Search,Not Socially Engaged
1.0,1500710241.0,07:57:21,07/22/2017,1,1,0,0,,Chrome,desktop,false,Hong Kong,Hong Kong,,Google Online Store,5.44214E+17,Organic Search,Not Socially Engaged
1.0,1472887640.0,07:27:20,09/03/2016,1,1,0,0,,Chrome,desktop,false,Sydney,Australia,APAC,Google Online Store,8.03577E+18,Organic Search,Not Socially Engaged
2.0,1472969023.0,06:03:43,09/03/2016,1,0,0,0,,Safari,tablet,true,not available in demo dataset,Australia,APAC,Google Online Store,5.20358E+18,Organic Search,Not Socially Engaged
1.0,1486930762.0,20:19:22,02/12/2017,1,1,0,0,,Safari,mobile,true,not available in demo dataset,United States,North America,Google Online Store,6.58716E+16,Organic Search,Not Socially Engaged
2.0,1486895156.0,10:25:56,02/12/2017,1,0,0,0,,Chrome,desktop,false,Gothenburg,Sweden,EMEA,Google Online Store,3.09652E+18,Organic Search,Not Socially Engaged
1.0,1486970686.0,07:24:46,02/12/2017,1,1,0,0,,Chrome,desktop,false,Singapore,Singapore,APAC,Google Online Store,6.59662E+17,Direct,Not Socially Engaged
1.0,1486933360.0,21:02:40,02/12/2017,1,1,0,0,,Chrome,mobile,true,not available in demo dataset,Italy,EMEA,Google Online Store,7.06905E+18,Organic Search,Not Socially Engaged
1.0,1486898924.0,11:28:44,02/12/2017,1,1,0,0,,UC Browser,mobile,true,Hyderabad,India,APAC,Google Online Store,3.90419E+18,Organic Search,Not Socially Engaged
1.0,1486896422.0,10:47:02,02/12/2017,1,1,0,0,,Chrome,mobile,true,not available in demo dataset,Germany,EMEA,Google Online Store,6.08341E+17,Organic Search,Not Socially Engaged
1.0,1486890460.0,09:07:40,02/12/2017,1,1,0,0,,Safari,mobile,true,Hong Kong,Hong Kong,,Google Online Store,3.35949E+18,Organic Search,Not Socially Engaged
1.0,1500730543.0,13:35:43,07/22/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Mexico,Central America,Google Online Store,1.431E+18,Organic Search,Not Socially Engaged
1.0,1500763271.0,22:41:11,07/22/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,France,EMEA,Google Online Store,8.578E+18,Organic Search,Not Socially Engaged
2.0,1500739309.0,16:01:49,07/22/2017,1,0,0,0,,Chrome,desktop,false,not available in demo dataset,Portugal,,Google Online Store,2.73685E+18,Organic Search,Not Socially Engaged
1.0,1500779952.0,03:19:12,07/22/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Japan,APAC,Google Online Store,2.54894E+18,Organic Search,Not Socially Engaged
1.0,1500749289.0,18:48:09,07/22/2017,1,1,0,0,/plus/forum/AAAARKNkdp4Aa863ziQXLc/,Chrome,mobile,true,not available in demo dataset,Germany,EMEA,Google Online Store,7.07345E+18,Referral,Not Socially Engaged
1.0,1472892175.0,08:42:55,09/03/2016,1,1,0,0,,Chrome,mobile,true,Sunnyvale,United States,North America,Google Online Store,4.09973E+18,Organic Search,Not Socially Engaged
1.0,1472915076.0,15:04:36,09/03/2016,1,1,0,0,,Chrome,mobile,true,not available in demo dataset,Hong Kong,,Google Online Store,2.52831E+18,Organic Search,Not Socially Engaged
1.0,1472953325.0,01:42:05,09/03/2016,1,1,0,0,,Safari,mobile,true,Mexico City,Mexico,Central America,Google Online Store,7.5228E+18,Organic Search,Not Socially Engaged
1.0,1472912665.0,14:24:25,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Estonia,,Google Online Store,1.24037E+18,Organic Search,Not Socially Engaged
1.0,1472912224.0,14:17:04,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,France,EMEA,Google Online Store,4.03505E+18,Direct,Not Socially Engaged
1.0,1472919209.0,16:13:29,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,United Kingdom,EMEA,Google Online Store,5.55463E+18,Organic Search,Not Socially Engaged
3.0,1472938568.0,21:36:08,09/03/2016,1,0,0,0,,Edge,desktop,false,not available in demo dataset,United States,North America,Google Online Store,1.27517E+18,Paid Search,Not Socially Engaged
1.0,1486936372.0,21:52:52,02/12/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,United Kingdom,EMEA,Google Online Store,2.84546E+17,Organic Search,Not Socially Engaged
2.0,1486895652.0,10:34:12,02/12/2017,1,0,0,0,,Chrome,desktop,false,Gothenburg,Sweden,EMEA,Google Online Store,1.13559E+18,Organic Search,Not Socially Engaged
1.0,1486929670.0,20:01:10,02/12/2017,1,1,0,0,,Android Webview,mobile,true,not available in demo dataset,Brazil,South America,Google Online Store,6.69821E+18,Direct,Not Socially Engaged
1.0,1500706961.0,07:02:41,07/22/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Denmark,,Google Online Store,6.7826E+18,Organic Search,Not Socially Engaged
1.0,1500741455.0,16:37:35,07/22/2017,1,1,0,0,,Chrome,desktop,false,London,United Kingdom,EMEA,Google Online Store,6.94179E+18,Organic Search,Not Socially Engaged
1.0,1500750704.0,19:11:44,07/22/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,United States,North America,Google Online Store,1.08349E+18,Organic Search,Not Socially Engaged
2.0,1500791741.0,06:35:41,07/22/2017,1,0,0,0,,Chrome,desktop,false,not available in demo dataset,Japan,APAC,Google Online Store,2.5964E+17,Organic Search,Not Socially Engaged
1.0,1500735492.0,14:58:12,07/22/2017,1,1,0,0,,Chrome,mobile,true,not available in demo dataset,Switzerland,EMEA,Google Online Store,6.55433E+18,Direct,Not Socially Engaged
1.0,1500769969.0,00:32:49,07/22/2017,1,1,0,0,,Safari,mobile,true,London,United Kingdom,EMEA,Google Online Store,9.4745E+18,Organic Search,Not Socially Engaged
1.0,1486899763.0,11:42:43,02/12/2017,1,1,0,0,,Chrome,mobile,true,not available in demo dataset,Turkey,EMEA,Google Online Store,1.78137E+18,Organic Search,Not Socially Engaged
1.0,1486918338.0,16:52:18,02/12/2017,1,1,0,0,,Chrome,mobile,true,not available in demo dataset,Norway,,Google Online Store,9.58274E+17,Organic Search,Not Socially Engaged
1.0,1486945290.0,00:21:30,02/12/2017,1,1,0,0,,Chrome,tablet,true,not available in demo dataset,Canada,North America,Google Online Store,4.66209E+17,Organic Search,Not Socially Engaged
1.0,1486936527.0,21:55:27,02/12/2017,1,1,0,0,,Chrome,mobile,true,London,United Kingdom,EMEA,Google Online Store,6.69878E+17,Organic Search,Not Socially Engaged
1.0,1486911769.0,15:02:49,02/12/2017,1,1,0,0,,Chrome,mobile,true,not available in demo dataset,Sweden,EMEA,Google Online Store,9.92661E+18,Organic Search,Not Socially Engaged
1.0,1500709555.0,07:45:55,07/22/2017,1,1,0,0,,Safari,mobile,true,not available in demo dataset,Denmark,,Google Online Store,7.74344E+18,Organic Search,Not Socially Engaged
1.0,1500748639.0,18:37:19,07/22/2017,1,1,0,0,,Chrome,mobile,true,Jakarta,Indonesia,APAC,Google Online Store,8.87216E+18,Organic Search,Not Socially Engaged
1.0,1500708307.0,07:25:07,07/22/2017,1,1,0,0,,Chrome,desktop,false,Brisbane,Australia,APAC,Google Online Store,3.03765E+18,Organic Search,Not Socially Engaged
1.0,1500728851.0,13:07:31,07/22/2017,1,1,0,0,,Chrome,desktop,false,Sao Paulo,Brazil,South America,Google Online Store,6.99042E+18,Organic Search,Not Socially Engaged
2.0,1500730916.0,13:41:56,07/22/2017,1,0,0,0,,Chrome,desktop,false,not available in demo dataset,India,APAC,Google Online Store,2.70013E+18,Organic Search,Not Socially Engaged
1.0,1500773515.0,01:31:55,07/22/2017,1,1,0,0,,Safari,tablet,true,not available in demo dataset,United States,North America,Google Online Store,4.3104E+17,Paid Search,Not Socially Engaged
2.0,1500753746.0,20:02:26,07/22/2017,1,0,0,0,,Chrome,desktop,false,Florianopolis,Brazil,South America,Google Online Store,1.64441E+18,Organic Search,Not Socially Engaged
1.0,1500727652.0,12:47:32,07/22/2017,1,1,0,0,,Internet Explorer,desktop,false,not available in demo dataset,Turkey,EMEA,Google Online Store,1.17204E+18,Organic Search,Not Socially Engaged
1.0,1486901341.0,12:09:01,02/12/2017,1,1,0,0,,Chrome,desktop,false,(not set),Singapore,APAC,Google Online Store,7.63271E+16,Organic Search,Not Socially Engaged
1.0,1486933095.0,20:58:15,02/12/2017,1,1,0,0,,Chrome,mobile,true,not available in demo dataset,Mexico,Central America,Google Online Store,7.42557E+18,Organic Search,Not Socially Engaged
1.0,1500724289.0,11:51:29,07/22/2017,1,1,0,0,,Chrome,mobile,true,not available in demo dataset,South Africa,,Google Online Store,2.76211E+18,Organic Search,Not Socially Engaged
1.0,1500764645.0,23:04:05,07/22/2017,1,1,0,0,,Safari,desktop,false,not available in demo dataset,Netherlands,EMEA,Google Online Store,9.58786E+18,Direct,Not Socially Engaged
2.0,1486929538.0,19:58:58,02/12/2017,1,0,0,0,,Chrome,mobile,true,not available in demo dataset,United States,North America,Google Online Store,3.68186E+17,Organic Search,Not Socially Engaged
1.0,1500721162.0,10:59:22,07/22/2017,1,1,0,0,,Chrome,desktop,false,(not set),United States,North America,Google Online Store,6.59808E+18,Direct,Not Socially Engaged
